instruction,context
Extract the current temperature and weather conditions from a weather page.,"<!DOCTYPE html><html><head><title>Weather Page</title></head><body><h1>Current Weather</h1><div class=""temperature"">25°C</div><div class=""conditions"">Sunny</div></body></html>"
Retrieve the hourly forecast for the next 24 hours from a weather page.,"<!DOCTYPE html><html><head><title>Weather Page</title></head><body><h1>Hourly Forecast</h1><ul><li>12:00 PM: 28°C, Partly Cloudy</li><li>1:00 PM: 30°C, Sunny</li><li>2:00 PM: 31°C, Sunny</li></ul></body></html>"
Extract the weekly forecast for the upcoming week from a weather page.,"<!DOCTYPE html><html><head><title>Weather Page</title></head><body><h1>Weekly Forecast</h1><ul><li>Monday: 27°C, Sunny</li><li>Tuesday: 25°C, Cloudy</li><li>Wednesday: 29°C, Partly Cloudy</li></ul></body></html>"
Retrieve the sunrise and sunset times for today from a weather page.,"<!DOCTYPE html><html><head><title>Weather Page</title></head><body><h1>Sunrise and Sunset</h1><div class=""sunrise"">6:00 AM</div><div class=""sunset"">7:30 PM</div></body></html>"
Retrieve the URLs of all the images on the webpage.,"<!DOCTYPE html><html><head><title>Image Gallery</title></head><body><h1>Image Gallery</h1><div class=""gallery""><img src=""image1.jpg"" alt=""Image 1""><img src=""image2.jpg"" alt=""Image 2""><img src=""image3.jpg"" alt=""Image 3""></div></body></html>"
Retrieve the URLs of all the images on the webpage.,"<!DOCTYPE html><html><head><title>Image Gallery</title></head><body><h1>Image Gallery</h1><div class=""gallery""><img src=""images/image1.jpg"" alt=""Image 1""><img src=""images/image2.jpg"" alt=""Image 2""><img src=""images/image3.jpg"" alt=""Image 3""></div></body></html>"
Retrieve the URLs of all the images on the webpage.,"<!DOCTYPE html><html><head><title>Image Gallery</title></head><body><h1>Image Gallery</h1><div class=""gallery""><img src=""/images/image1.jpg"" alt=""Image 1""><img src=""/images/image2.jpg"" alt=""Image 2""><img src=""/images/image3.jpg"" alt=""Image 3""></div></body></html>"
Extract the title of the webpage.,<html><head><title>Welcome to Example.com</title></head><body><h1>Hello World!</h1></body></html>
Find all the paragraph texts on the webpage.,<html><body><p>This is the first paragraph.</p><p>This is the second paragraph.</p></body></html>
Retrieve the source URL of an image on the webpage.,<html><body><img src='example.jpg'></body></html>
Extract the links from the navigation menu.,<html><body><ul><li><a href='home.html'>Home</a></li><li><a href='about.html'>About</a></li></ul></body></html>
Extract the names and prices of all products from a shopping website.,<html><body><div class='product'><h3 class='name'>Product 1</h3><span class='price'>$10</span></div><div class='product'><h3 class='name'>Product 2</h3><span class='price'>$20</span></div></body></html>
Find the email addresses listed on the contact page.,<html><body><div class='contact'><h2>Contact Us</h2><p>Email: info@example.com</p><p>Email: support@example.com</p></div></body></html>
Retrieve the table data from an HTML table.,<html><body><table><tr><th>Name</th><th>Age</th></tr><tr><td>John</td><td>25</td></tr><tr><td>Emily</td><td>30</td></tr></table></body></html>
Extract the list of articles and their respective authors from a blog.,<html><body><div class='articles'><div class='article'><h2 class='title'>Article 1</h2><p class='author'>Author 1</p></div><div class='article'><h2 class='title'>Article 2</h2><p class='author'>Author 2</p></div></div></body></html>
Extract the main heading of the webpage.,<html><body><h1>Welcome to Example.com</h1><p>This is a sample webpage.</p></body></html>
Find the content of the first paragraph.,<html><body><p>This is the first paragraph.</p><p>This is the second paragraph.</p></body></html>
Retrieve the address from the contact section.,"<html><body><div class='contact'><h2>Contact Us</h2><p>123 Main Street, City</p></div></body></html>"
Extract the list items from an unordered list.,<html><body><ul><li>Item 1</li><li>Item 2</li></ul></body></html>
Extract the title and author information of a book from a nested div structure.,<html><body><div class='book'><div class='details'><h2 class='title'>Book Title</h2><p class='author'>Author Name</p></div></div></body></html>
"Find the product name, price, and description from a nested div structure.",<html><body><div class='product'><div class='name'>Product Name</div><div class='price'>$99.99</div><div class='description'>Product Description</div></div></body></html>
Extract the song titles and artist names from a nested div structure.,<html><body><div class='playlist'><div class='song'><div class='title'>Song 1</div><div class='artist'>Artist 1</div></div><div class='song'><div class='title'>Song 2</div><div class='artist'>Artist 2</div></div></div></body></html>
Retrieve the list of categories and their respective subcategories from a nested div structure.,<html><body><div class='categories'><div class='category'><div class='name'>Category 1</div><div class='subcategory'>Subcategory 1</div><div class='subcategory'>Subcategory 2</div></div><div class='category'><div class='name'>Category 2</div><div class='subcategory'>Subcategory 3</div><div class='subcategory'>Subcategory 4</div></div></div></body></html>
Extract the names and details of products from a deeply nested div structure.,<html><body><div class='product'><div class='details'><div class='name'>Product 1</div><div class='price'>$10.99</div><div class='description'>Product 1 description</div></div></div><div class='product'><div class='details'><div class='name'>Product 2</div><div class='price'>$19.99</div><div class='description'>Product 2 description</div></div></div></body></html>
Find the names and release dates of movies from a deeply nested div structure.,<html><body><div class='movies'><div class='movie'><div class='title'>Movie 1</div><div class='details'><div class='release-date'>2022-05-01</div></div></div><div class='movie'><div class='title'>Movie 2</div><div class='details'><div class='release-date'>2023-08-15</div></div></div></div></body></html>
Retrieve the names and ratings of restaurants from a deeply nested div structure.,<html><body><div class='restaurants'><div class='restaurant'><div class='name'>Restaurant 1</div><div class='details'><div class='rating'>4.5</div></div></div><div class='restaurant'><div class='name'>Restaurant 2</div><div class='details'><div class='rating'>3.8</div></div></div></div></body></html>
"Extract the article titles, authors, and publication dates from a deeply nested div structure.",<html><body><div class='articles'><div class='article'><div class='title'>Article 1</div><div class='details'><div class='author'>Author 1</div><div class='publication-date'>2023-07-01</div></div></div><div class='article'><div class='title'>Article 2</div><div class='details'><div class='author'>Author 2</div><div class='publication-date'>2023-07-10</div></div></div></div></body></html>
Extract the names and prices of products from a deeply nested div structure.,<html><body><div class='container'><div class='category'><div class='sub-category'><div class='product'><div class='name'>Product 1</div><div class='price'>$9.99</div></div></div></div><div class='category'><div class='sub-category'><div class='product'><div class='name'>Product 2</div><div class='price'>$19.99</div></div></div></div></div></body></html>
"Find the titles, authors, and publication dates of books from a deeply nested div structure.",<html><body><div class='library'><div class='shelf'><div class='book'><div class='title'>Book 1</div><div class='author'>Author 1</div><div class='publication-date'>2022-10-01</div></div></div><div class='shelf'><div class='book'><div class='title'>Book 2</div><div class='author'>Author 2</div><div class='publication-date'>2023-05-15</div></div></div></div></body></html>
Retrieve the names and release years of movies from a deeply nested div structure.,<html><body><div class='movie-list'><div class='genre'><div class='sub-genre'><div class='movie'><div class='name'>Movie 1</div><div class='release-year'>2022</div></div></div></div><div class='genre'><div class='sub-genre'><div class='movie'><div class='name'>Movie 2</div><div class='release-year'>2023</div></div></div></div></div></body></html>
"Extract the product names, categories, and prices from a deeply nested div structure.",<html><body><div><div><div ><div><div >Product 1</div><div>Category 1</div><div>$19.99</div></div></div></div><div><div><div ><div >Product 2</div><div>Category 2</div><div>$29.99</div></div></div></div></div></body></html>
Extract the names and prices of products from a deeply nested div structure.,<html><body><div><div><div>Product 1</div><div>$9.99</div></div></div><div><div><div>Product 2</div><div>$19.99</div></div></div></body></html>
"Find the titles, authors, and publication dates of books from a deeply nested div structure.",<html><body><div><div><div>Book 1</div><div>Author 1</div><div>2022-10-01</div></div></div><div><div><div>Book 2</div><div>Author 2</div><div>2023-05-15</div></div></div></body></html>
Retrieve the names and release years of movies from a deeply nested div structure.,<html><body><div><div><div>Movie 1</div><div>2022</div></div></div><div><div><div>Movie 2</div><div>2023</div></div></div></body></html>
"Extract the product names, categories, and prices from a deeply nested div structure.",<html><body><div><div><div>Product 1</div><div>Category 1</div><div>$19.99</div></div></div><div><div><div>Product 2</div><div>Category 2</div><div>$29.99</div></div></div></body></html>
Extract the current temperature and weather conditions from a weather forecast website.,<html><body><div><div>Current Temperature:</div><div>25°C</div></div><div><div>Weather Conditions:</div><div>Sunny</div></div></body></html>
Find the forecasted high and low temperatures for the day from a weather website.,<html><body><div><div>High Temperature:</div><div>30°C</div></div><div><div>Low Temperature:</div><div>20°C</div></div></body></html>
Retrieve the weather conditions and precipitation probability from a weather forecast page.,<html><body><div><div>Weather Conditions:</div><div>Cloudy</div></div><div><div>Precipitation Probability:</div><div>40%</div></div></body></html>
Extract the wind speed and direction from a weather report webpage.,<html><body><div><div>Wind Speed:</div><div>15 mph</div></div><div><div>Wind Direction:</div><div>North</div></div></body></html>
Extract the hourly temperature and weather conditions for a day from a weather forecast website.,"<html><body><div><div>Hour 1:</div><div>25°C, Sunny</div></div><div><div>Hour 2:</div><div>24°C, Partly Cloudy</div></div><div><div>Hour 3:</div><div>23°C, Cloudy</div></div></body></html>"
Find the weekly weather forecast including the high and low temperatures for each day.,"<html><body><div><div>Monday:</div><div>High: 30°C, Low: 20°C</div></div><div><div>Tuesday:</div><div>High: 28°C, Low: 18°C</div></div><div><div>Wednesday:</div><div>High: 32°C, Low: 22°C</div></div></body></html>"
"Retrieve the weather conditions, wind speed, and precipitation probability for each hour of a day.","<html><body><div><div>Hour 1:</div><div>Cloudy, Wind: 10 mph, Precipitation: 20%</div></div><div><div>Hour 2:</div><div>Rainy, Wind: 15 mph, Precipitation: 60%</div></div><div><div>Hour 3:</div><div>Sunny, Wind: 8 mph, Precipitation: 5%</div></div></body></html>"
"Extract the extended weather forecast for the week, including weather conditions and humidity levels.","<html><body><div><div>Day 1:</div><div>Partly Cloudy, Humidity: 60%</div></div><div><div>Day 2:</div><div>Sunny, Humidity: 50%</div></div><div><div>Day 3:</div><div>Cloudy, Humidity: 70%</div></div></body></html>"
